Name,ID,MK_0,MK_1,MK_2,MK_3,MK_4,MK_5,MK_6,MK_7,MK_8,MK_9,MK_10,MK_11,Reaction_CO_Cl,Reaction_CS,Reaction_CN,Reaction_2+2,Yield
4MeDPAIPN,OPS9,-0.247188122,-1.652567988,-2.009554254,0.946823652,-0.322293591,1.623013475,2.454477539,0.477678741,-1.11480152,-0.918822632,0.49016784,-0.615213722,0,1,0,0,99
4FDPAIPN,OPS10,0.768610519,-1.822576652,-1.986714679,0.731753647,0.141680948,2.961457086,0.545001821,3.33997003,-1.713836673,1.736891404,0.073663666,-1.30378766,0,1,0,0,97
4ClDPAIPN,OPS11,0.251013109,-2.056681575,-2.12620212,0.684598174,0.32267092,2.817158834,0.513247709,3.531589933,-2.483756789,1.999905606,-0.172590853,-0.522280791,0,1,0,0,99
4BrDPAIPN,OPS12,0.290855468,-2.023056317,-2.325085021,1.037469869,0.535392894,2.99727653,0.445995,3.700587273,-2.050996013,2.091940778,0.319004901,-0.335802182,0,1,0,0,99
3CzClIPN,OPS13,1.311392986,-2.564205728,-2.006955426,-2.925575648,1.331884931,0.082164073,-1.497862335,2.108513334,-3.471969647,0.820306984,-0.908653902,0.352226906,0,1,0,0,63
3tBuCzClIPN,OPS14,1.843265695,-2.190515445,-2.577915034,-3.134467999,0.123658164,-0.513905542,1.675820295,-0.461262679,-3.788076663,-0.703449744,-0.151497266,-0.26636953,0,1,0,0,56
3OMeCzClIPN,OPS15,0.07847669,-0.383961517,1.560140835,-3.471290447,3.165988692,-4.424562692,3.484175573,0.025430582,-4.957120314,4.580557065,-3.134772023,-0.327216335,0,1,0,0,0
4CzPN,OPS16,0.511930908,-2.49200242,-2.130210467,-2.640833185,1.409418928,-0.603797629,-1.350987706,0.410803428,-2.446030954,-1.834737838,-0.120162831,0.198822211,0,1,0,0,54
4DPAPN,OPS17,-0.601154402,-1.861798623,-1.977313122,0.943750735,0.071002855,2.157603266,0.663285204,1.741043687,-0.976869991,-0.478570984,0.649617179,-0.497292488,0,1,0,0,4
4CzTPN,OPS18,0.511930908,-2.49200242,-2.130210467,-2.640833185,1.409418928,-0.603797629,-1.350987706,0.410803428,-2.446030954,-1.834737838,-0.120162831,0.198822211,0,1,0,0,9
4DPATPN,OPS19,-0.601154402,-1.861798623,-1.977313122,0.943750735,0.071002855,2.157603266,0.663285204,1.741043687,-0.976869991,-0.478570984,0.649617179,-0.497292488,0,1,0,0,13
1CzTRZ,OPS20,0.619346087,-2.348222998,-1.418109027,-2.886126994,0.083725824,-0.884186917,-1.619826521,-0.866047566,0.663683202,0.183862174,1.39769994,3.798143439,0,1,0,0,0
1tBuCzTRZ,OPS21,1.151218796,-1.974532716,-1.989068636,-3.095019346,-1.124500943,-1.480256532,1.553856109,-3.435823579,0.347576186,-1.339894553,2.154856576,3.179547004,0,1,0,0,95
1DPATRZ,OPS22,0.016044702,-2.023105204,-1.422130737,-1.277896958,-0.567508988,0.394133346,-0.752265061,-0.324411349,1.916267512,1.619119032,2.445466758,4.438167788,0,1,0,0,94
