Name,ID,MF_0,MF_1,MF_2,MF_3,MF_4,MF_5,MF_6,MF_7,MF_8,MF_9,MF_10,MF_11,MF_12,MF_13,MF_14,MF_15,MF_16,MF_17,MF_18,MF_19,MF_20,MF_21,MF_22,MF_23,MF_24,MF_25,MF_26,MF_27,MF_28,Reaction_CO_1.5h,Reaction_CO_7.5h,Reaction_CO_biphenyl,Reaction_CO_ortho,Reaction_CO_Cl,Reaction_CS,Reaction_CN,Reaction_2+2,Yield
2MeDPAA,OPS52,-1.433077744,-0.913347255,-0.746116232,-2.739294913,-1.206739346,0.201825682,0.049514532,0.3712969,-1.415526827,0.326929587,-1.044096711,-0.217391211,-0.174692632,1.473735182,1.721020728,0.001091376,0.452444766,0.980716377,-0.004685834,-1.325591055,-1.875060595,-0.274292009,0.704895679,0.427491532,-2.791232545,-0.089089094,-3.575906141,0.832810612,-0.514622455,0,0,0,0,0,0,0,1,0
2OMeDPAA,OPS53,-1.731621738,-0.846036612,-1.020066138,-1.122117114,-0.350158786,-0.542335723,-0.083601628,0.372434628,-2.021166705,2.14017842,-1.419832102,-0.357003424,-0.851788662,-1.627242868,4.406963342,-0.666330966,1.921303491,-0.259302207,-2.736151767,-4.088475742,-2.256081902,-4.038520995,1.787346537,2.648966257,-2.500559858,0.61533553,-1.20567554,0.779102829,-2.664019098,0,0,0,0,0,0,0,1,0
3CzNB,OPS54,-1.686580396,-0.145021227,-1.206603756,1.461796063,0.064679363,-2.006047937,-0.462027466,1.834468741,12.16907429,-4.060948669,4.357313794,-0.149413485,0.190699529,-0.987807706,-2.900440432,-2.526380735,3.285206239,1.216797661,-0.691026949,2.485284939,-1.655588563,0.358548758,5.217120025,-3.513828754,-5.313499518,2.896830507,1.279490315,-1.743892987,-3.533077869,0,0,0,0,0,0,0,1,0
3DPANB,OPS55,-2.11784121,0.574766528,-0.690038406,-6.889646745,-3.598202878,-2.592903214,0.183890108,2.750689944,11.98400029,-5.073007466,3.011267739,-1.862686395,1.518646601,-0.052150671,2.96902725,-0.660352299,1.537506406,-0.575057747,-0.57156996,-0.143492955,-0.481723995,-0.587415366,0.190881798,1.8403514,-0.164489028,-2.587816888,0.476326893,-0.790360632,2.463154494,0,0,0,0,0,0,0,1,2
3MeDPANB,OPS56,-1.569033402,0.558564324,-1.099194313,-7.862382324,-3.463019138,-1.79180874,0.338993273,2.397861569,12.75112314,-4.780336827,2.912170947,-1.932997032,0.845668909,-0.067624548,4.195411236,0.835900078,-0.408094825,-0.443301859,-0.412218083,-0.737797962,0.045736556,0.068602502,0.516193189,1.274802154,-0.980133113,-2.048633203,-0.182719235,-0.73736563,2.374586779,0,0,0,0,0,0,0,1,0
3BrDPANB,OPS57,-1.345911942,1.102303565,-1.404772852,-8.530048552,-3.291645495,-3.276110784,0.73023359,2.641079193,13.44290503,-5.390415221,2.737007156,-2.13394193,1.958078891,0.078654397,3.550681772,-0.175221148,-0.768740413,-3.156054284,0.11091048,-0.028055913,0.657929111,-0.907655004,-2.521166321,2.077528328,4.01002997,1.256265786,0.59173046,-0.453618292,-1.207472612,0,0,0,0,0,0,0,1,8
2CzAQ,OPS58,-0.989110431,0.812790565,-0.036740199,1.872943092,1.606669038,-0.287901258,-0.687793449,0.417943248,2.210740639,2.019261362,2.478904093,2.959080345,-3.887581714,1.028958075,-6.442306692,-3.317406692,6.664876085,5.396781912,-0.279662217,4.436323746,-0.885013812,-0.666402726,-0.493740485,3.583934652,0.159350936,1.206427219,2.340736572,-1.326526867,0.314649687,0,0,0,0,0,0,0,1,0
2DPAAQ,OPS59,-1.579292976,0.662448813,1.207842133,-3.353217611,-1.845025902,-0.751523171,-0.228959548,0.413396218,-0.866598418,1.970493163,1.160425561,1.809260338,-2.606157302,2.007877578,-2.91470965,-2.077929506,4.121187625,4.063115423,-0.292051103,2.392116623,1.671994578,-1.076119811,-2.631127895,4.606932479,2.431961578,-3.326105666,3.56341857,0.077644811,0.099329026,0,0,0,0,0,0,0,1,0
2DPASF,OPS60,-1.811454607,0.001726277,-0.055953277,-4.852139773,-2.811559581,-0.987274609,0.118201388,0.654201379,-0.601482009,-0.083206914,-0.698659768,0.005877129,-0.636384139,0.520095713,-1.585010038,2.227194424,1.351471753,6.800818792,-2.738837724,-3.858815734,5.656062066,1.194883222,-2.874831595,-4.443202287,-2.59967985,2.16656199,2.101165534,2.20321141,0.902832646,0,0,0,0,0,0,0,1,0
2tBuDPASF,OPS61,-1.480031283,0.478777106,-0.839436734,-5.139249841,-2.213379021,0.479139617,0.32932853,-0.1492109,-0.615048117,-1.01834477,-2.044636125,-0.69313542,-0.455225082,0.008166858,-2.135255196,6.28666395,-0.739547458,8.333773733,-4.206099131,-4.400715976,4.365680841,1.830966098,-0.488307959,-3.621737589,-0.18696054,2.096921016,1.702317225,1.942293922,-0.185964493,0,0,0,0,0,0,0,1,1
2MeDPASF,OPS62,-1.162904999,0.017822575,-0.458846251,-5.503931847,-2.527339461,-0.157628843,0.172986009,0.356461222,0.255344006,0.174379196,-0.73774369,-0.072943956,-1.314064973,0.473007977,-0.328256571,3.496213076,-0.524815282,7.045242744,-2.624050326,-4.333072404,6.177744814,1.860250339,-2.519532705,-5.026930279,-3.362276631,2.697996825,1.419845638,2.230079265,0.862352604,0,0,0,0,0,0,0,1,0
CF3PhDPZ,OPS63,0.000200716,-1.303030372,1.01696861,4.865315005,-2.93102263,0.035169314,2.205915109,-1.835828241,0.579779582,-0.031003933,-1.096067449,-1.424475572,-0.513410681,0.525206405,-1.156651867,1.535983376,1.515774031,0.10824433,-4.160632563,0.752369225,0.183201123,-0.385598336,4.594411888,3.057466078,2.915137905,5.402800759,1.098582411,0.920650933,1.535663797,0,0,0,0,0,0,0,1,15
